title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
Life Is Beautiful,movie,"Comedy, Drama, Romance",1997,tt0118799,8.6,766329,IT
Catch Me If You Can,movie,"Biography, Crime, Drama",2002,tt0264464,8.1,1142229,"CA, US"
Requiem for a Dream,movie,Drama,2000,tt0180093,8.3,926109,IN
Battleship Potemkin,movie,"Drama, History, Thriller",1925,tt0015648,7.9,62745,GB
A.I. Artificial Intelligence,movie,"Adventure, Drama, Sci-Fi",2001,tt0212720,7.2,328804,"AT, CA, CH, DE, FR, GB, IE, IT, US"
Beauty and the Beast,movie,"Drama, Fantasy, Romance",1946,tt0038348,7.9,28749,GB
Belle de Jour,movie,"Drama, Romance",1967,tt0061395,7.6,50625,DE
Troy,movie,"Adventure, Drama",2004,tt0332452,7.3,586038,CA
Nosferatu: A Symphony of Horror,movie,"Fantasy, Horror",1922,tt0013442,7.8,114250,GB
"Paris, Texas",movie,Drama,1984,tt0087884,8.1,128101,GB
The Marriage of Maria Braun,movie,"Drama, Romance",1979,tt0079095,7.7,15388,"DE, GB"
Saw IV,movie,"Horror, Mystery, Thriller",2007,tt0890870,5.9,169552,"BR, CO, IN, MX"
Oldboy,movie,"Action, Drama, Mystery",2003,tt0364569,8.3,664309,"AU, DE, GB, IT"
Pulp Fiction,movie,"Crime, Drama",1994,tt0110912,8.9,2295044,"AT, CH, DE, FR, GB, IE, IT"
Dead Man Walking,movie,"Crime, Drama",1995,tt0112818,7.5,103688,"BR, CL, CO, MX"
Pickpocket,movie,"Crime, Drama",1959,tt0053168,7.6,26143,GB
Meet the Fockers,movie,"Comedy, Romance",2004,tt0290002,6.3,292851,"AT, AU, CH, DE, FR, GB, IE, IT"
Effi Briest,movie,"Drama, History",1974,tt0071458,6.9,2810,DE
The Piano,movie,"Drama, Music, Romance",1993,tt0107822,7.5,97342,"DE, GB"
Together,movie,"Comedy, Drama, Romance",2000,tt0203166,7.4,24877,GB
Top Gun,movie,"Action, Drama",1986,tt0092099,6.9,519045,"AR, AT, AU, BO, BR, CA, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE"
Shaun of the Dead,movie,"Comedy, Horror",2004,tt0365748,7.9,612252,"AU, US"
Face/Off,movie,"Action, Crime, Sci-Fi",1997,tt0119094,7.3,410702,"CA, US"
From Dusk Till Dawn,movie,"Action, Crime, Horror",1996,tt0116367,7.2,350615,"AT, CH, DE, FR, GB, IE, IT"
Monty Python and the Holy Grail,movie,"Adventure, Comedy, Fantasy",1975,tt0071853,8.2,582086,"CA, US"
Evil Dead II,movie,"Comedy, Horror",1987,tt0092991,7.7,187644,"AT, BR, CH, CL, CO, MX"
Army of Darkness,movie,"Comedy, Horror",1992,tt0106308,7.4,200199,BR
A Trip to the Moon,movie,"Adventure, Comedy, Fantasy",1902,tt0000417,8.1,57688,DE
The Rules of the Game,movie,"Comedy, Drama",1939,tt0031885,7.9,32098,GB
The Grand Illusion,movie,"Drama, War",1937,tt0028950,8.1,39755,DE
Monsieur Hulot's Holiday,movie,Comedy,1953,tt0046487,7.3,20784,"DE, GB"
Vampyr,movie,"Fantasy, Horror",1932,tt0023649,7.4,21397,GB
The Passion of Joan of Arc,movie,"Biography, Drama, History",1928,tt0019254,8.1,63441,"DE, GB"
Gandhi,movie,"Biography, Drama, History",1982,tt0083987,8,242572,AU
The Fog,movie,"Horror, Thriller",1980,tt0080749,6.8,86445,GB
Persona,movie,"Drama, Thriller",1966,tt0060827,8,134411,"DE, GB"
Annaluise & Anton,movie,"Comedy, Drama, Family",1999,tt0161935,7,1083,DE
Roman Holiday,movie,"Comedy, Drama, Romance",1953,tt0046250,8,150920,"AT, CH, DE, FR, GB, IE, IT"
Rosemary's Baby,movie,"Drama, Horror",1968,tt0063522,8,245286,"AR, AT, AU, BO, BR, CA, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE"
Shrek,movie,"Adventure, Animation, Comedy",2001,tt0126029,7.9,760281,AU
Shrek 2,movie,"Adventure, Animation, Comedy",2004,tt0298148,7.4,521887,AU
Shrek the Third,movie,"Adventure, Animation, Comedy",2007,tt0413267,6.1,342071,AU
Airplane!,movie,Comedy,1980,tt0080339,7.7,269779,"AT, AU, CA, CH, DE, FR, GB, IE, IT, US"
An American Werewolf in London,movie,"Comedy, Horror",1981,tt0082010,7.5,126687,"BR, CL, CO, IN, MX"
Animal Farm,movie,"Comedy, Drama, Family",1999,tt0204824,6,6623,AU
JFK,movie,"Drama, History, Thriller",1991,tt0102138,8,174404,DE
The Bridge on the River Kwai,movie,"Adventure, Drama, War",1957,tt0050212,8.1,239236,AU
